,Date,COVID-19 Patients in Acute Care Beds,COVID-19 Patients in ICU,Non-COVID Acute,Non-COVID ICU,Capacity_85_Count
0,03/25/2020,68,40,3908,816,5998
1,03/26/2020,76,70,3699,670,5809
2,03/27/2020,113,72,3812,660,5711
3,03/28/2020,118,94,3880,706,5450
4,03/29/2020,150,110,3756,643,5459
5,03/30/2020,177,131,3972,625,5757
6,03/31/2020,257,145,3804,654,5671
7,04/01/2020,0,0,3846,848,5719
8,04/02/2020,263,184,3490,636,5622
9,04/03/2020,369,236,3264,659,5659
10,04/04/2020,305,254,3372,641,5543
11,04/05/2020,498,272,3219,608,5550
12,04/06/2020,499,302,3194,595,5658
13,04/07/2020,539,309,3317,578,5667
14,04/08/2020,581,343,3238,611,5775
15,04/09/2020,560,358,3295,600,5820
16,04/10/2020,641,379,3178,621,5707
17,04/11/2020,633,386,3078,616,5728
18,04/12/2020,657,414,3052,562,5669
19,04/13/2020,631,448,3212,536,5783
20,04/14/2020,718,438,3286,552,5859
21,04/15/2020,788,431,3314,540,5804
22,04/16/2020,762,439,3371,528,5919
23,04/17/2020,800,488,3331,505,6128
24,04/18/2020,791,498,3243,558,5917
25,04/19/2020,829,511,3284,545,5959
26,04/20/2020,907,526,3280,551,6090
27,04/21/2020,905,527,3438,610,6140
28,04/22/2020,890,515,3569,569,6107
29,04/23/2020,878,547,3563,561,6205
30,04/24/2020,870,538,3533,584,6210
31,04/25/2020,933,530,3497,579,6198
32,04/26/2020,978,534,3613,613,6242
33,04/27/2020,977,551,3704,597,6437
34,04/28/2020,1027,586,3828,576,6576
35,04/29/2020,1111,574,3657,633,6526
36,04/30/2020,1100,568,3748,607,6540
37,05/01/2020,1091,566,3645,606,6537
38,05/02/2020,1070,565,3536,609,6421
39,05/03/2020,1086,563,3553,585,6390
40,05/04/2020,1120,577,3719,602,6503
41,05/05/2020,1123,584,3757,626,6599
42,05/06/2020,1099,584,3857,640,6591
43,05/07/2020,1103,571,3829,650,6522
44,05/08/2020,1090,575,3808,620,6411
45,05/09/2020,1029,611,3715,545,6407
46,05/10/2020,961,581,3764,551,6236
47,05/11/2020,958,587,3859,602,6345
48,05/12/2020,975,574,4072,623,6547
49,05/13/2020,964,573,4120,642,6600
50,05/14/2020,896,599,4100,654,6690
51,05/15/2020,891,594,4042,679,6629
52,05/16/2020,890,559,4028,590,6418
53,05/17/2020,892,555,4125,611,6534
54,05/18/2020,884,537,4048,558,6491
55,05/19/2020,871,534,4344,650,6699
56,05/20/2020,848,526,4268,660,6639
57,05/21/2020,823,506,4234,646,6608
58,05/22/2020,796,524,4127,591,6500
59,05/23/2020,787,503,4132,612,6594
60,05/24/2020,762,517,4159,609,6535
61,05/25/2020,795,520,4273,631,6561
62,05/26/2020,818,520,4198,605,6514
63,05/27/2020,823,511,4503,684,6765
64,05/28/2020,789,507,4568,654,6701
65,05/29/2020,747,492,4574,631,6677
66,05/30/2020,704,479,4473,645,6698
67,05/31/2020,695,479,4413,639,6531
68,06/01/2020,667,481,4379,611,6622
69,06/02/2020,638,475,4676,653,6747
70,06/03/2020,640,456,4660,692,6678
71,06/04/2020,621,455,4710,712,6589
72,06/05/2020,641,418,4637,699,6571
73,06/06/2020,605,404,4473,724,6559
74,06/07/2020,599,392,4350,710,6459
75,06/08/2020,584,386,4473,688,6479
76,06/09/2020,576,383,4722,711,6542
77,06/10/2020,544,358,4813,748,6571
78,06/11/2020,505,331,4804,788,6620
79,06/12/2020,478,321,4890,749,6594
80,06/13/2020,447,315,4650,762,6571
81,06/14/2020,453,295,4554,735,6510
82,06/15/2020,458,284,4514,756,6606
83,06/16/2020,419,283,4815,776,6722
84,06/17/2020,391,269,4930,801,6677
85,06/18/2020,387,259,4866,780,6580
86,06/19/2020,396,240,4786,758,6562
87,06/20/2020,376,232,4670,776,6525
88,06/21/2020,357,234,4561,743,6496
89,06/22/2020,349,212,4691,741,6506
90,06/23/2020,331,213,5033,783,6648
91,06/24/2020,302,209,5207,789,6682
92,06/25/2020,297,190,5152,824,6654
93,06/26/2020,297,181,5054,791,6594
94,06/27/2020,288,158,4877,769,6539
