,VACCINATION_DATE,12-17,18-49,50-64,65 and Older
0,2020-12-14 15:00:00,,0.0,0.0,0.0
1,2020-12-15 15:00:00,,0.001,0.002,0.0
2,2020-12-16 15:00:00,,0.018000000000000002,0.012,0.003
3,2020-12-17 15:00:00,,0.048,0.037000000000000005,0.009000000000000001
4,2020-12-18 15:00:00,,0.122,0.11199999999999999,0.031
5,2020-12-19 15:00:00,,0.145,0.135,0.039
6,2020-12-20 15:00:00,,0.153,0.142,0.040999999999999995
7,2020-12-21 15:00:00,,0.253,0.231,0.064
8,2020-12-22 15:00:00,0.002,0.379,0.379,0.20199999999999999
9,2020-12-23 15:00:00,0.002,0.507,0.526,0.275
10,2020-12-24 15:00:00,,0.57,0.598,0.299
11,2020-12-25 15:00:00,0.004,0.581,0.625,0.34
12,2020-12-26 15:00:00,,0.61,0.6759999999999999,0.395
13,2020-12-27 15:00:00,0.004,0.639,0.7190000000000001,0.447
14,2020-12-28 15:00:00,0.005,0.8370000000000001,0.9440000000000001,0.57
15,2020-12-29 15:00:00,0.005,1.062,1.2309999999999999,0.747
16,2020-12-30 15:00:00,0.006,1.3430000000000002,1.556,0.8859999999999999
17,2020-12-31 15:00:00,0.006,1.514,1.746,0.975
18,2021-01-01 15:00:00,0.006999999999999999,1.546,1.797,1.073
19,2021-01-02 15:00:00,0.008,1.6019999999999999,1.858,1.155
20,2021-01-03 15:00:00,0.008,1.665,1.939,1.236
21,2021-01-04 15:00:00,0.009000000000000001,1.931,2.278,1.4809999999999999
22,2021-01-05 15:00:00,0.011000000000000001,2.175,2.589,1.73
23,2021-01-06 15:00:00,0.013999999999999999,2.4730000000000003,2.986,2.012
24,2021-01-07 15:00:00,0.016,2.7889999999999997,3.3689999999999998,2.246
25,2021-01-08 15:00:00,0.023,3.117,3.7689999999999997,2.5269999999999997
26,2021-01-09 15:00:00,0.024,3.215,3.887,2.65
27,2021-01-10 15:00:00,0.025,3.266,3.9560000000000004,2.728
28,2021-01-11 15:00:00,0.027999999999999997,3.525,4.2860000000000005,3.0469999999999997
29,2021-01-12 15:00:00,0.033,3.846,4.678999999999999,3.4939999999999998
30,2021-01-13 15:00:00,0.037000000000000005,4.218999999999999,5.132999999999999,3.855
31,2021-01-14 15:00:00,0.039,4.567,5.562,4.243
32,2021-01-15 15:00:00,0.042,4.94,5.997999999999999,4.727
33,2021-01-16 15:00:00,0.042,5.04,6.095,4.94
34,2021-01-17 15:00:00,0.043,5.074,6.138999999999999,5.01
35,2021-01-18 15:00:00,0.044000000000000004,5.157,6.25,5.379
36,2021-01-19 15:00:00,0.046,5.348,6.481,6.365
37,2021-01-20 15:00:00,0.048,5.571000000000001,6.766,7.621
38,2021-01-21 15:00:00,0.051,5.854,7.1129999999999995,8.908
39,2021-01-22 15:00:00,0.054000000000000006,6.23,7.59,10.31
40,2021-01-23 15:00:00,0.057,6.356,7.734,10.835
41,2021-01-24 15:00:00,0.06,6.386,7.78,11.043
42,2021-01-25 15:00:00,0.062,6.556,7.989,12.059000000000001
43,2021-01-26 15:00:00,0.065,6.746,8.215,13.13
44,2021-01-27 15:00:00,0.069,6.981,8.513,14.732999999999999
45,2021-01-28 15:00:00,0.073,7.211,8.815,16.166
46,2021-01-29 15:00:00,0.085,7.4479999999999995,9.142000000000001,17.776
47,2021-01-30 15:00:00,0.08900000000000001,7.622999999999999,9.366,18.942999999999998
48,2021-01-31 15:00:00,0.091,7.678,9.439,19.134
49,2021-02-01 15:00:00,0.10099999999999999,7.744,9.546,19.608
50,2021-02-02 15:00:00,0.10800000000000001,7.86,9.72,20.409000000000002
51,2021-02-03 15:00:00,0.113,8.044,9.981,21.53
52,2021-02-04 15:00:00,0.11599999999999999,8.247,10.311,22.91
53,2021-02-05 15:00:00,0.11900000000000001,8.452,10.603,24.133000000000003
54,2021-02-06 15:00:00,0.122,8.587,10.775,24.818
55,2021-02-07 15:00:00,0.12300000000000001,8.644,10.860999999999999,25.176
56,2021-02-08 15:00:00,0.127,8.77,11.04,25.997
57,2021-02-09 15:00:00,0.129,8.929,11.259,27.035
