,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,34689,49.263,49.263,31802,45.163,45.163,3689,5.239,5.239,38378.0,54.502,54.502,35491.0,50.402,50.402
1,Anne Arundel,413723,71.426,71.426,378720,65.383,65.383,27380,4.727,4.727,441103.0,76.153,76.153,406100.0,70.11,70.11
2,Baltimore,590766,71.403,71.403,547420,66.164,66.164,40336,4.875,4.875,631102.0,76.278,76.278,587756.0,71.039,71.039
3,Baltimore City,379641,63.968,63.968,341212,57.492,57.492,24081,4.058,4.058,403722.0,68.025,68.025,365293.0,61.55,61.55
4,Calvert,63854,69.013,69.013,58444,63.166,63.166,4420,4.777,4.777,68274.0,73.79,73.79,62864.0,67.943,67.943
5,Caroline,16419,49.15,49.15,15188,45.465,45.465,3324,9.95,9.95,19743.0,59.1,59.1,18512.0,55.415,55.415
6,Carroll,112987,67.076,67.076,105497,62.629,62.629,10851,6.442,6.442,123838.0,73.517,73.517,116348.0,69.071,69.071
7,Cecil,54127,52.625,52.625,49075,47.713,47.713,4404,4.282,4.282,58531.0,56.906,56.906,53479.0,51.995,51.995
8,Charles,109736,67.217,67.217,99043,60.667,60.667,6026,3.691,3.691,115762.0,70.908,70.908,105069.0,64.358,64.358
9,Dorchester,17407,54.518,54.518,16085,50.377,50.377,2436,7.629,7.629,19843.0,62.147,62.147,18521.0,58.007,58.007
10,Frederick,191962,73.96,73.96,176900,68.157,68.157,18758,7.227,7.227,210720.0,81.188,81.188,195658.0,75.384,75.384
11,Garrett,13892,47.88,47.88,12534,43.2,43.2,1069,3.684,3.684,14961.0,51.565,51.565,13603.0,46.884,46.884
12,Harford,168650,66.023,66.023,156563,61.291,61.291,14958,5.856,5.856,183608.0,71.879,71.879,171521.0,67.147,67.147
13,Howard,275665,84.64,84.64,254611,78.176,78.176,15511,4.763,4.763,291176.0,89.403,89.403,270122.0,82.938,82.938
14,Kent,12212,62.877,62.877,11180,57.564,57.564,1066,5.489,5.489,13278.0,68.366,68.366,12246.0,63.052,63.052
15,Montgomery,889283,84.638,84.638,798560,76.004,76.004,50456,4.802,4.802,939739.0,89.44,89.44,849016.0,80.806,80.806
16,Prince George's,655909,72.131,72.131,576203,63.366,63.366,34501,3.794,3.794,690410.0,75.925,75.925,610704.0,67.16,67.16
17,Queen Anne's,32794,65.092,65.092,30208,59.959,59.959,2947,5.849,5.849,35741.0,70.941,70.941,33155.0,65.809,65.809
18,St. Mary's,70365,61.99,61.99,64418,56.751,56.751,4545,4.004,4.004,74910.0,65.994,65.994,68963.0,60.755,60.755
19,Somerset,12439,48.559,48.559,11332,44.238,44.238,1281,5.001,5.001,13720.0,53.56,53.56,12613.0,49.239,49.239
20,Talbot,25626,68.922,68.922,23396,62.925,62.925,3140,8.445,8.445,28766.0,77.367,77.367,26536.0,71.37,71.37
21,Washington,79759,52.803,52.803,72969,48.308,48.308,12418,8.221,8.221,92177.0,61.025,61.025,85387.0,56.529,56.529
22,Wicomico,56083,54.129,54.129,51281,49.495,49.495,4916,4.745,4.745,60999.0,58.874,58.874,56197.0,54.239,54.239
23,Worcester,36246,69.336,69.336,33020,63.165,63.165,3036,5.808,5.808,39282.0,75.143,75.143,36056.0,68.972,68.972
24,Unknown,484748,,,342945,,,45823,,,530571.0,,,388768.0,,
