,County,FirstDose,PercentFirstDose,txtPercentFirstDose,SecondDose,PercentSecondDose,txtPercentSecondDose,SingleDose,PercentSingleDose,txtPercentSingleDose,AtLeastOneVaccine,PercentAtLeastOneVaccine,txtPercentAtLeastOneVaccine,FullyVaccinated,PercentFullyVaccinated,txtPercentFullyVaccinated
0,Allegany,33774,47.964,47.964,30773,43.702,43.702,3640,5.169,5.169,37414.0,53.133,53.133,34413.0,48.871,48.871
1,Anne Arundel,393495,67.934,67.934,356060,61.471000000000004,61.471000000000004,26592,4.591,4.591,420087.0,72.525,72.525,382652.0,66.062,66.062
2,Baltimore,539067,65.154,65.154,494298,59.743,59.743,38491,4.652,4.652,577558.0,69.806,69.806,532789.0,64.395,64.395
3,Baltimore City,367282,61.885,61.885,327518,55.185,55.185,23453,3.952,3.952,390735.0,65.837,65.837,350971.0,59.137,59.137
4,Calvert,60997,65.925,65.925,55282,59.748000000000005,59.748000000000005,4197,4.5360000000000005,4.5360000000000005,65194.0,70.461,70.461,59479.0,64.28399999999999,64.28399999999999
5,Caroline,15522,46.465,46.465,14176,42.435,42.435,3282,9.825,9.825,18804.0,56.288999999999994,56.288999999999994,17458.0,52.26,52.26
6,Carroll,113477,67.367,67.367,104767,62.196000000000005,62.196000000000005,11114,6.598,6.598,124591.0,73.965,73.965,115881.0,68.794,68.794
7,Cecil,50844,49.433,49.433,46023,44.746,44.746,4244,4.126,4.126,55088.0,53.559,53.559,50267.0,48.872,48.872
8,Charles,100366,61.477,61.477,89775,54.99,54.99,5750,3.522,3.522,106116.0,64.999,64.999,95525.0,58.512,58.512
9,Dorchester,16292,51.026,51.026,14713,46.08,46.08,2360,7.391,7.391,18652.0,58.417,58.417,17073.0,53.472,53.472
10,Frederick,173577,66.877,66.877,157712,60.763999999999996,60.763999999999996,17685,6.814,6.814,191262.0,73.691,73.691,175397.0,67.578,67.578
11,Garrett,12630,43.531000000000006,43.531000000000006,11296,38.933,38.933,994,3.426,3.426,13624.0,46.957,46.957,12290.0,42.358999999999995,42.358999999999995
12,Harford,157269,61.568000000000005,61.568000000000005,144631,56.62,56.62,14293,5.595,5.595,171562.0,67.163,67.163,158924.0,62.216,62.216
13,Howard,262532,80.608,80.608,238763,73.31,73.31,15226,4.675,4.675,277758.0,85.28299999999999,85.28299999999999,253989.0,77.985,77.985
14,Kent,12736,65.575,65.575,11602,59.736000000000004,59.736000000000004,1073,5.525,5.525,13809.0,71.1,71.1,12675.0,65.26100000000001,65.26100000000001
15,Montgomery,830538,79.047,79.047,735469,69.999,69.999,48301,4.5969999999999995,4.5969999999999995,878839.0,83.64399999999999,83.64399999999999,783770.0,74.596,74.596
16,Prince George's,582641,64.074,64.074,507969,55.861999999999995,55.861999999999995,32013,3.5210000000000004,3.5210000000000004,614654.0,67.594,67.594,539982.0,59.383,59.383
17,Queen Anne's,30136,59.816,59.816,27533,54.65,54.65,2790,5.537999999999999,5.537999999999999,32926.0,65.354,65.354,30323.0,60.187,60.187
18,St. Mary's,65883,58.042,58.042,60102,52.949,52.949,4301,3.7889999999999997,3.7889999999999997,70184.0,61.831,61.831,64403.0,56.738,56.738
19,Somerset,12192,47.595,47.595,10750,41.966,41.966,1265,4.938,4.938,13457.0,52.534,52.534,12015.0,46.903999999999996,46.903999999999996
20,Talbot,24413,65.66,65.66,21996,59.159,59.159,3092,8.316,8.316,27505.0,73.976,73.976,25088.0,67.475,67.475
21,Washington,73890,48.918,48.918,66967,44.335,44.335,12013,7.952999999999999,7.952999999999999,85903.0,56.871,56.871,78980.0,52.288000000000004,52.288000000000004
22,Wicomico,52322,50.498999999999995,50.498999999999995,47365,45.715,45.715,4630,4.468999999999999,4.468999999999999,56952.0,54.968,54.968,51995.0,50.184,50.184
23,Worcester,34116,65.26100000000001,65.26100000000001,30755,58.832,58.832,2827,5.4079999999999995,5.4079999999999995,36943.0,70.669,70.669,33582.0,64.24,64.24
24,Unknown,432811,,,314176,,,42996,,,475807.0,,,357172.0,,
