,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,2020-12-14,19,1402,,523,,,,,19,1402,0,523,19,1821
1,2020-12-15,61,1463,3.0,526,,,,,61,1463,3,526,64,1885
2,2020-12-16,595,2058,5.0,531,,,,,595,2058,5,531,600,2485
3,2020-12-17,1164,3222,8.0,539,,,,,1164,3222,8,539,1172,3657
4,2020-12-18,3021,6243,12.0,551,,,,,3021,6243,12,551,3033,6690
5,2020-12-19,931,7174,5.0,556,,,,,931,7174,5,556,936,7626
6,2020-12-20,364,7538,6.0,562,,,,,364,7538,6,562,370,7996
7,2020-12-21,3889,11427,26.0,588,,,,,3889,11427,26,588,3915,11911
8,2020-12-22,6323,17750,27.0,615,,,,,6323,17750,27,615,6350,18261
9,2020-12-23,5784,23534,36.0,651,,,,,5784,23534,36,651,5820,24081
10,2020-12-24,2728,26262,15.0,666,,,,,2728,26262,15,666,2743,26824
11,2020-12-25,1035,27297,4.0,670,,,,,1035,27297,4,670,1039,27863
12,2020-12-26,1883,29180,9.0,679,,,,,1883,29180,9,679,1892,29755
13,2020-12-27,1802,30982,12.0,691,,,,,1802,30982,12,691,1814,31569
14,2020-12-28,8983,39965,50.0,741,,,,,8983,39965,50,741,9033,40602
15,2020-12-29,10968,50933,53.0,794,,,,,10968,50933,53,794,11021,51623
16,2020-12-30,12491,63424,92.0,886,,,,,12491,63424,92,886,12583,64206
17,2020-12-31,7552,70976,47.0,933,,,,,7552,70976,47,933,7599,71805
18,2021-01-01,3301,74277,141.0,1074,,,,,3301,74277,141,1074,3442,75247
19,2021-01-02,3044,77321,34.0,1108,,,,,3044,77321,34,1108,3078,78325
20,2021-01-03,3411,80732,82.0,1190,,,,,3411,80732,82,1190,3493,81818
21,2021-01-04,13363,94095,336.0,1526,,,,,13363,94095,336,1526,13699,95517
22,2021-01-05,12486,106581,548.0,2074,,,,,12486,106581,548,2074,13034,108551
23,2021-01-06,15267,121848,864.0,2938,,,,,15267,121848,864,2938,16131,124682
24,2021-01-07,15038,136886,1777.0,4715,,,,,15038,136886,1777,4715,16815,141497
25,2021-01-08,24013,160899,2785.0,7500,,,,,24013,160899,2785,7500,26798,168295
26,2021-01-09,5175,166074,954.0,8454,,,,,5175,166074,954,8454,6129,174424
27,2021-01-10,2971,169045,384.0,8838,,,,,2971,169045,384,8838,3355,177779
28,2021-01-11,13722,182767,3470.0,12308,,,,,13722,182767,3470,12308,17192,194971
29,2021-01-12,17392,200159,5593.0,17901,,,,,17392,200159,5593,17901,22985,217956
30,2021-01-13,18619,218778,3928.0,21829,,,,,18619,218778,3928,21829,22547,240503
31,2021-01-14,17853,236631,1962.0,23791,,,,,17853,236631,1962,23791,19815,260318
32,2021-01-15,19482,256113,2033.0,25824,,,,,19482,256113,2033,25824,21515,281833
33,2021-01-16,5837,261950,1617.0,27441,,,,,5837,261950,1617,27441,7454,289287
34,2021-01-17,2122,264072,1480.0,28921,,,,,2122,264072,1480,28921,3602,292889
35,2021-01-18,7079,271151,3260.0,32181,,,,,7079,271151,3260,32181,10339,303228
36,2021-01-19,16956,288107,5405.0,37586,,,,,16956,288107,5405,37586,22361,325589
37,2021-01-20,21007,309114,5324.0,42910,,,,,21007,309114,5324,42910,26331,351920
38,2021-01-21,23811,332925,3848.0,46758,,,,,23811,332925,3848,46758,27659,379579
39,2021-01-22,28658,361583,3757.0,50515,,,,,28658,361583,3757,50515,32415,411994
40,2021-01-23,10122,371705,1943.0,52458,,,,,10122,371705,1943,52458,12065,424059
41,2021-01-24,3355,375060,1723.0,54181,,,,,3355,375060,1723,54181,5078,429137
42,2021-01-25,16307,391367,8605.0,62786,,,,,16307,391367,8605,62786,24912,454049
43,2021-01-26,17564,408931,8977.0,71763,,,,,17564,408931,8977,71763,26541,480590
44,2021-01-27,24437,433368,12552.0,84315,,,,,24437,433368,12552,84315,36989,517579
45,2021-01-28,22656,456024,9330.0,93645,,,,,22656,456024,9330,93645,31986,549565
46,2021-01-29,24786,480810,7928.0,101573,,,,,24786,480810,7928,101573,32714,582279
47,2021-01-30,17783,498593,2561.0,104134,,,,,17783,498593,2561,104134,20344,602623
48,2021-01-31,3765,502358,1370.0,105504,,,,,3765,502358,1370,105504,5135,607758
49,2021-02-01,8128,510486,5390.0,110894,,,,,8128,510486,5390,110894,13518,621276
50,2021-02-02,12510,522996,13827.0,124721,,,,,12510,522996,13827,124721,26337,647613
51,2021-02-03,18260,541256,18134.0,142855,,,,,18260,541256,18134,142855,36394,684007
52,2021-02-04,22133,563389,15790.0,158645,,,,,22133,563389,15790,158645,37923,721930
53,2021-02-05,20347,583736,17424.0,176069,,,,,20347,583736,17424,176069,37771,759701
54,2021-02-06,11333,595069,14478.0,190547,,,,,11333,595069,14478,190547,25811,785512
55,2021-02-07,5950,601019,1839.0,192386,,,,,5950,601019,1839,192386,7789,793301
56,2021-02-08,12986,614005,12924.0,205310,,,,,12986,614005,12924,205310,25910,819211
57,2021-02-09,16651,630656,13878.0,219188,,,,,16651,630656,13878,219188,30529,849740
58,2021-02-10,19304,649960,21235.0,240423,,,,,19304,649960,21235,240423,40539,890279
59,2021-02-11,22853,672813,17344.0,257767,,,,,22853,672813,17344,257767,40197,930476
60,2021-02-12,20399,693212,19639.0,277406,,,,,20399,693212,19639,277406,40038,970514
61,2021-02-13,11438,704650,6425.0,283831,,,,,11438,704650,6425,283831,17863,988377
62,2021-02-14,7113,711763,2131.0,285962,,,,,7113,711763,2131,285962,9244,997621
63,2021-02-15,11763,723526,13337.0,299299,,,,,11763,723526,13337,299299,25100,1022721
64,2021-02-16,16612,740138,21020.0,320319,,,,,16612,740138,21020,320319,37632,1060353
65,2021-02-17,20663,760801,26380.0,346699,,,,,20663,760801,26380,346699,47043,1107396
66,2021-02-18,3200,764001,4621.0,351320,,,,,3200,764001,4621,351320,7821,1115217
67,2021-02-19,10256,774257,19928.0,371248,,,,,10256,774257,19928,371248,30184,1145401
68,2021-02-20,10315,784572,20292.0,391540,,,,,10315,784572,20292,391540,30607,1176008
69,2021-02-21,6183,790755,7660.0,399200,,,,,6183,790755,7660,399200,13843,1189851
70,2021-02-22,8034,798789,15478.0,414678,,,,,8034,798789,15478,414678,23512,1213363
71,2021-02-23,15537,814326,15992.0,430670,,,,,15537,814326,15992,430670,31529,1244892
72,2021-02-24,17956,832282,24741.0,455411,,,,,17956,832282,24741,455411,42697,1287589
73,2021-02-25,20397,852679,26558.0,481969,,,,,20397,852679,26558,481969,46955,1334544
74,2021-02-26,26722,879401,26229.0,508198,,,,,26722,879401,26229,508198,52951,1387495
75,2021-02-27,16009,895410,11159.0,519357,,,,,16009,895410,11159,519357,27168,1414663
76,2021-02-28,15496,910906,4885.0,524242,,,,,15496,910906,4885,524242,20381,1435044
77,2021-03-01,27046,937952,12644.0,536886,,,,,27046,937952,12644,536886,39690,1474734
78,2021-03-02,23936,961888,13280.0,550166,,,35.0,35.0,23971,961923,13315,550201,37251,1511985
79,2021-03-03,30202,992090,18400.0,568566,,,188.0,223.0,30390,992313,18588,568789,48790,1560775
80,2021-03-04,30965,1023055,18211.0,586777,,,4068.0,4291.0,35033,1027346,22279,591068,53244,1614019
