,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.001,0.0,0.0,,,14,5,2
1,2020-12-15 15:00:00,,,0.002,0.003,0.001,,,50,34,6
2,2020-12-16 15:00:00,,,0.022,0.015,0.004,,,559,188,38
3,2020-12-17 15:00:00,,,0.056,0.044,0.011,,,1423,537,109
4,2020-12-18 15:00:00,,,0.134,0.123,0.032,,,3393,1508,309
5,2020-12-19 15:00:00,,,0.159,0.148,0.04,,,4012,1823,379
6,2020-12-20 15:00:00,,,0.169,0.157,0.043,,,4275,1928,408
7,2020-12-21 15:00:00,,,0.272,0.249,0.067,,,6875,3058,639
8,2020-12-22 15:00:00,,0.002,0.401,0.398,0.202,,8.0,10109,4894,1942
9,2020-12-23 15:00:00,,0.002,0.531,0.548,0.277,,9.0,13406,6733,2653
10,2020-12-24 15:00:00,,,0.596,0.622,0.301,,,15036,7640,2892
11,2020-12-25 15:00:00,,0.004,0.608,0.65,0.342,,18.0,15332,7978,3285
12,2020-12-26 15:00:00,,,0.637,0.701,0.398,,,16085,8612,3815
13,2020-12-27 15:00:00,,0.004,0.668,0.745,0.451,,20.0,16865,9148,4324
14,2020-12-28 15:00:00,,0.005,0.873,0.976,0.576,,24.0,22023,11988,5529
15,2020-12-29 15:00:00,,0.006,1.105,1.271,0.757,,25.0,27895,15611,7267
16,2020-12-30 15:00:00,,0.006,1.396,1.602,0.9,,27.0,35227,19682,8634
17,2020-12-31 15:00:00,,0.006,1.571,1.797,0.991,,29.0,39646,22066,9511
18,2021-01-01 15:00:00,,0.009,1.63,1.873,1.121,,41.0,41125,23004,10751
19,2021-01-02 15:00:00,,0.01,1.694,1.941,1.21,,45.0,42750,23843,11608
20,2021-01-03 15:00:00,,0.01,1.759,2.025,1.293,,46.0,44386,24867,12409
21,2021-01-04 15:00:00,,0.012,2.031,2.37,1.542,,53.0,51240,29109,14797
22,2021-01-05 15:00:00,,0.015,2.28,2.688,1.796,,66.0,57524,33019,17235
23,2021-01-06 15:00:00,,0.018,2.585,3.091,2.085,,83.0,65218,37967,20002
24,2021-01-07 15:00:00,,0.021,2.907,3.481,2.326,,95.0,73359,42752,22311
25,2021-01-08 15:00:00,,0.029,3.242,3.886,2.614,,129.0,81799,47727,25074
26,2021-01-09 15:00:00,,0.03,3.347,4.012,2.741,,135.0,84459,49276,26296
27,2021-01-10 15:00:00,,0.031,3.401,4.084,2.824,,140.0,85826,50165,27091
28,2021-01-11 15:00:00,,0.035,3.664,4.419,3.148,,157.0,92457,54275,30206
29,2021-01-12 15:00:00,,0.04,3.993,4.822,3.604,,183.0,100751,59228,34579
30,2021-01-13 15:00:00,,0.044,4.372,5.283,3.981,,200.0,110333,64882,38194
31,2021-01-14 15:00:00,,0.047,4.728,5.72,4.381,,212.0,119303,70256,42035
32,2021-01-15 15:00:00,,0.051,5.11,6.164,4.874,,229.0,128942,75712,46763
33,2021-01-16 15:00:00,,0.051,5.216,6.268,5.099,,231.0,131619,76989,48922
34,2021-01-17 15:00:00,,0.052,5.251,6.315,5.174,,235.0,132514,77559,49636
35,2021-01-18 15:00:00,,0.053,5.339,6.431,5.55,,241.0,134730,78981,53250
36,2021-01-19 15:00:00,,0.056,5.536,6.668,6.523,,251.0,139683,81892,62579
37,2021-01-20 15:00:00,,0.058,5.763,6.954,7.765,,261.0,145429,85410,74494
38,2021-01-21 15:00:00,,0.061,6.057,7.309,9.054,,277.0,152832,89773,86860
39,2021-01-22 15:00:00,,0.065,6.437,7.79,10.444,,293.0,162436,95676,100204
40,2021-01-23 15:00:00,,0.067,6.567,7.938,10.984,,305.0,165720,97495,105382
41,2021-01-24 15:00:00,,0.071,6.599,7.986,11.196,,319.0,166510,98084,107412
42,2021-01-25 15:00:00,,0.073,6.771,8.196,12.189,,329.0,170863,100668,116943
43,2021-01-26 15:00:00,,0.076,6.967,8.424,13.234,,342.0,175793,103468,126964
44,2021-01-27 15:00:00,,0.08,7.206,8.72,14.79,,363.0,181840,107094,141898
45,2021-01-28 15:00:00,,0.084,7.442,9.022,16.177,,379.0,187790,110807,155197
46,2021-01-29 15:00:00,,0.097,7.685,9.349,17.729,,437.0,193932,114826,170091
47,2021-01-30 15:00:00,,0.101,7.864,9.568,18.853,,456.0,198440,117513,180873
48,2021-01-31 15:00:00,,0.103,7.918,9.632,19.024,,467.0,199811,118305,182516
49,2021-02-01 15:00:00,,0.114,7.998,9.753,19.53,,515.0,201821,119785,187369
50,2021-02-02 15:00:00,,0.121,8.118,9.927,20.311,,545.0,204842,121928,194859
51,2021-02-03 15:00:00,,0.126,8.307,10.191,21.396,,570.0,209629,125171,205274
52,2021-02-04 15:00:00,,0.13,8.516,10.525,22.753,,586.0,214901,129273,218290
53,2021-02-05 15:00:00,,0.133,8.728,10.822,23.967,,601.0,220242,132913,229937
