"County","People with at least one vaccine dose","People with completed vaccine series","People up to date with vaccine doses","reportedDate","webDate"
"AITKIN",9627,9231,3251,"8/7/2022",2022-08-09
"ANOKA",246390,233590,99276,"8/7/2022",2022-08-09
"BECKER",19509,18544,6487,"8/7/2022",2022-08-09
"BELTRAMI",29176,27297,12393,"8/7/2022",2022-08-09
"BENTON",21721,20644,8161,"8/7/2022",2022-08-09
"BIG STONE",3139,3049,1176,"8/7/2022",2022-08-09
"BLUE EARTH",43499,41177,17857,"8/7/2022",2022-08-09
"BROWN",16556,15973,6098,"8/7/2022",2022-08-09
"CARLTON",25375,24074,10362,"8/7/2022",2022-08-09
"CARVER",79408,75599,35211,"8/7/2022",2022-08-09
"CASS",17689,16649,6154,"8/7/2022",2022-08-09
"CHIPPEWA",7003,6667,2513,"8/7/2022",2022-08-09
"CHISAGO",32538,31191,12663,"8/7/2022",2022-08-09
"CLAY",40288,37273,14913,"8/7/2022",2022-08-09
"CLEARWATER",3693,3492,1148,"8/7/2022",2022-08-09
"COOK",4711,4471,2484,"8/7/2022",2022-08-09
"COTTONWOOD",6703,6436,2039,"8/7/2022",2022-08-09
"CROW WING",37941,36133,13905,"8/7/2022",2022-08-09
"DAKOTA",333809,315949,152125,"8/7/2022",2022-08-09
"DODGE",13478,12948,5729,"8/7/2022",2022-08-09
"DOUGLAS",22646,21675,9015,"8/7/2022",2022-08-09
"FARIBAULT",7911,7606,2820,"8/7/2022",2022-08-09
"FILLMORE",13426,13014,5197,"8/7/2022",2022-08-09
"FREEBORN",18942,18105,7682,"8/7/2022",2022-08-09
"GOODHUE",31626,30296,14152,"8/7/2022",2022-08-09
"GRANT",3311,3164,1111,"8/7/2022",2022-08-09
"HENNEPIN",1014181,946558,507645,"8/7/2022",2022-08-09
"HOUSTON",12642,12120,5387,"8/7/2022",2022-08-09
"HUBBARD",11607,10953,3811,"8/7/2022",2022-08-09
"ISANTI",20240,19252,6903,"8/7/2022",2022-08-09
"ITASCA",26831,25705,10060,"8/7/2022",2022-08-09
"JACKSON",5494,5272,1605,"8/7/2022",2022-08-09
"KANABEC",8003,7646,2861,"8/7/2022",2022-08-09
"KANDIYOHI",25065,23779,9868,"8/7/2022",2022-08-09
"KITTSON",2558,2475,1073,"8/7/2022",2022-08-09
"KOOCHICHING",7223,6971,2561,"8/7/2022",2022-08-09
"LAC QUI PARLE",4210,4054,1538,"8/7/2022",2022-08-09
"LAKE",7637,7302,3196,"8/7/2022",2022-08-09
"LAKE OF THE WOODS",2240,2138,636,"8/7/2022",2022-08-09
"LE SUEUR",17695,16909,6703,"8/7/2022",2022-08-09
"LINCOLN",3205,3084,1001,"8/7/2022",2022-08-09
"LYON",14954,14221,4779,"8/7/2022",2022-08-09
"MAHNOMEN",3057,2879,883,"8/7/2022",2022-08-09
"MARSHALL",4905,4709,1361,"8/7/2022",2022-08-09
"MARTIN",11141,10674,3968,"8/7/2022",2022-08-09
