"Age group","year","week","case_definition","White","Black/African American","American Indian","Asian/Pacific Islander","Multiracial","Hispanic","webDate"
"65+",2022,29,"At least one vaccine dose","100 %","100 %","88.2 %","100 %","100 %","95.1 %",2022-07-30
"5-11",2022,29,"At least one vaccine dose","37.6 %","30.7 %","36.6 %","67.3 %","25.5 %","32.6 %",2022-07-30
"5+",2022,29,"At least one vaccine dose","71 %","70.6 %","63.5 %","87.8 %","43.3 %","68.6 %",2022-07-30
"45-64",2022,29,"At least one vaccine dose","70.1 %","91.1 %","70.5 %","96.8 %","70.4 %","85.3 %",2022-07-30
"19-44",2022,29,"At least one vaccine dose","66.1 %","71.2 %","63.5 %","84.5 %","46.9 %","74.2 %",2022-07-30
"12-18",2022,29,"At least one vaccine dose","56.6 %","65.5 %","62.1 %","92.1 %","32.4 %","64.6 %",2022-07-30
"12+",2022,29,"At least one vaccine dose","74 %","78.1 %","68 %","90.6 %","48.7 %","75.8 %",2022-07-30
"65+",2022,29,"Completed vaccine series","98.4 %","100 %","85.7 %","100 %","96.2 %","88 %",2022-07-30
"5-11",2022,29,"Completed vaccine series","35.1 %","25.4 %","29.9 %","61.8 %","23.1 %","28 %",2022-07-30
"5+",2022,29,"Completed vaccine series","68.2 %","64 %","57.9 %","82.6 %","40.6 %","62.4 %",2022-07-30
"45-64",2022,29,"Completed vaccine series","68.2 %","85.9 %","66.4 %","92.4 %","68.1 %","80.2 %",2022-07-30
"19-44",2022,29,"Completed vaccine series","62.5 %","63.5 %","56.7 %","78.8 %","43.6 %","66.8 %",2022-07-30
"12-18",2022,29,"Completed vaccine series","54.2 %","57.7 %","56.3 %","87.6 %","30.4 %","58.8 %",2022-07-30
"12+",2022,29,"Completed vaccine series","71.2 %","71.1 %","62.6 %","85.4 %","45.9 %","69.2 %",2022-07-30
"65+",2022,29,"Up to date vaccine doses","47.7 %","38.7 %","35 %","47.7 %","43 %","33.5 %",2022-07-30
"5-11",2022,29,"Up to date vaccine doses","7.4 %","8.5 %","8.5 %","16.5 %","6 %","7.7 %",2022-07-30
"5+",2022,29,"Up to date vaccine doses","30.9 %","21.9 %","25.2 %","40.7 %","18.4 %","24.3 %",2022-07-30
"45-64",2022,29,"Up to date vaccine doses","22.6 %","25.8 %","24.6 %","38.6 %","25.5 %","27.2 %",2022-07-30
"19-44",2022,29,"Up to date vaccine doses","36.2 %","23.8 %","30.4 %","46.5 %","23.9 %","29.3 %",2022-07-30
"12-18",2022,29,"Up to date vaccine doses","24.3 %","17.8 %","22 %","40.1 %","13.7 %","21.6 %",2022-07-30
"12+",2022,29,"Up to date vaccine doses","33 %","24.3 %","28 %","43.9 %","22.1 %","27.6 %",2022-07-30
"65+",2022,28,"At least one vaccine dose","100 %","100 %","88.2 %","100 %","100 %","95 %",2022-07-30
"5-11",2022,28,"At least one vaccine dose","37.5 %","30.5 %","36.5 %","67.1 %","25.4 %","32.5 %",2022-07-30
"5+",2022,28,"At least one vaccine dose","70.9 %","70.5 %","63.4 %","87.7 %","43.2 %","68.6 %",2022-07-30
"45-64",2022,28,"At least one vaccine dose","70 %","91 %","70.5 %","96.7 %","70.4 %","85.3 %",2022-07-30
"19-44",2022,28,"At least one vaccine dose","66.1 %","71.1 %","63.4 %","84.4 %","46.9 %","74.2 %",2022-07-30
"12-18",2022,28,"At least one vaccine dose","56.6 %","65.4 %","62 %","92 %","32.4 %","64.5 %",2022-07-30
"12+",2022,28,"At least one vaccine dose","73.9 %","78 %","67.9 %","90.5 %","48.6 %","75.8 %",2022-07-30
"65+",2022,28,"Completed vaccine series","98.4 %","100 %","85.7 %","100 %","96.2 %","88 %",2022-07-30
"5-11",2022,28,"Completed vaccine series","35.1 %","25.2 %","29.8 %","61.7 %","23.1 %","27.9 %",2022-07-30
"5+",2022,28,"Completed vaccine series","68.2 %","63.9 %","57.8 %","82.5 %","40.5 %","62.3 %",2022-07-30
"45-64",2022,28,"Completed vaccine series","68.2 %","85.8 %","66.4 %","92.3 %","68.1 %","80.2 %",2022-07-30
"19-44",2022,28,"Completed vaccine series","62.5 %","63.4 %","56.6 %","78.8 %","43.6 %","66.8 %",2022-07-30
"12-18",2022,28,"Completed vaccine series","54.2 %","57.6 %","56.2 %","87.6 %","30.4 %","58.7 %",2022-07-30
"12+",2022,28,"Completed vaccine series","71.1 %","71.1 %","62.5 %","85.4 %","45.8 %","69.2 %",2022-07-30
"65+",2022,27,"At least one vaccine dose","100 %","100 %","88.2 %","100 %","100 %","94.9 %",2022-07-30
"5-11",2022,27,"At least one vaccine dose","37.4 %","30.3 %","36.4 %","66.8 %","25.3 %","32.4 %",2022-07-30
"5+",2022,27,"At least one vaccine dose","70.9 %","70.4 %","63.4 %","87.7 %","43.2 %","68.5 %",2022-07-30
"45-64",2022,27,"At least one vaccine dose","70 %","91 %","70.4 %","96.7 %","70.4 %","85.2 %",2022-07-30
"19-44",2022,27,"At least one vaccine dose","66.1 %","71 %","63.4 %","84.4 %","46.8 %","74.1 %",2022-07-30
"12-18",2022,27,"At least one vaccine dose","56.5 %","65.2 %","62 %","91.9 %","32.4 %","64.4 %",2022-07-30
"12+",2022,27,"At least one vaccine dose","73.9 %","77.9 %","67.9 %","90.5 %","48.6 %","75.7 %",2022-07-30
"65+",2022,27,"Completed vaccine series","98.4 %","100 %","85.6 %","100 %","96.1 %","87.9 %",2022-07-30
"5-11",2022,27,"Completed vaccine series","35 %","25 %","29.7 %","61.4 %","23 %","27.8 %",2022-07-30
"5+",2022,27,"Completed vaccine series","68.1 %","63.8 %","57.8 %","82.5 %","40.5 %","62.3 %",2022-07-30
"45-64",2022,27,"Completed vaccine series","68.2 %","85.8 %","66.4 %","92.3 %","68.1 %","80.1 %",2022-07-30
