ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
56473,1866,1796,629,9/14/2022
55707,2199,2090,844,9/14/2022
56727,394,378,108,9/14/2022
56265,4519,4289,1737,9/14/2022
56568,85,81,21,9/14/2022
56545,392,372,97,9/14/2022
56248,414,400,143,9/14/2022
56396,<= 5,<= 5,<= 5,9/14/2022
56540,1073,1021,362,9/14/2022
56393,<= 5,<= 5,<= 5,9/14/2022
55087,216,204,76,9/14/2022
55613,153,147,78,9/14/2022
56633,3265,2933,1017,9/14/2022
56078,260,253,102,9/14/2022
55767,3041,2919,1480,9/14/2022
56721,6650,6156,2128,9/14/2022
55330,26416,25099,10556,9/14/2022
56310,2763,2671,1117,9/14/2022
56323,261,251,79,9/14/2022
55303,32338,30777,12712,9/14/2022
55437,16138,15274,8790,9/14/2022
55432,23621,21998,10142,9/14/2022
56231,208,199,81,9/14/2022
55963,3984,3826,1840,9/14/2022
55949,1362,1315,568,9/14/2022
56516,162,158,40,9/14/2022
55407,31727,28905,16462,9/14/2022
55798,353,335,114,9/14/2022
56666,793,735,472,9/14/2022
56118,190,183,55,9/14/2022
55424,9523,8911,5428,9/14/2022
55985,979,940,370,9/14/2022
55329,987,948,359,9/14/2022
56309,767,740,281,9/14/2022
55408,27242,24751,13910,9/14/2022
55305,17905,16830,9961,9/14/2022
56325,87,83,43,9/14/2022
56714,549,533,160,9/14/2022
55734,3762,3592,1523,9/14/2022
56019,411,403,115,9/14/2022
55441,14324,13555,7518,9/14/2022
56461,1641,1560,552,9/14/2022
55752,227,225,71,9/14/2022
56052,412,389,158,9/14/2022
55072,1691,1585,586,9/14/2022
56681,160,152,56,9/14/2022
55590,<= 5,<= 5,<= 5,9/14/2022
56363,85,84,36,9/14/2022
55343,20340,19150,10351,9/14/2022
55328,6038,5772,2430,9/14/2022
56308,16216,15484,6983,9/14/2022
55425,8166,7456,3563,9/14/2022
56575,412,377,130,9/14/2022
55555,17,11,8,9/14/2022
55386,7624,7248,3634,9/14/2022
56278,1734,1688,679,9/14/2022
56262,507,478,203,9/14/2022
55902,23909,22515,14712,9/14/2022
56385,455,424,160,9/14/2022
55576,<= 5,<= 5,<= 5,9/14/2022
56556,492,469,170,9/14/2022
55909,975,939,425,9/14/2022
55045,4808,4635,2101,9/14/2022
55748,780,746,240,9/14/2022
56065,1519,1459,529,9/14/2022
55445,10595,9948,4459,9/14/2022
56368,2503,2397,855,9/14/2022
55348,14,12,8,9/14/2022
56465,1331,1272,503,9/14/2022
55120,4252,4021,2357,9/14/2022
56754,278,265,84,9/14/2022
55079,4907,4740,1780,9/14/2022
56187,10108,9380,3135,9/14/2022
55981,2917,2827,1302,9/14/2022
55420,18120,16892,8176,9/14/2022
56001,32144,30274,13920,9/14/2022
55021,19627,18538,7772,9/14/2022
55110,29681,28275,14514,9/14/2022
55403,13471,12278,7623,9/14/2022
56302,242,224,77,9/14/2022
55322,2253,2163,837,9/14/2022
55133,7,<= 5,<= 5,9/14/2022
56113,139,133,34,9/14/2022
55954,866,839,300,9/14/2022
55951,832,793,306,9/14/2022
55088,1032,1000,421,9/14/2022
55785,118,114,30,9/14/2022
56176,576,546,196,9/14/2022
55968,74,67,35,9/14/2022
56537,10633,9941,3833,9/14/2022
56314,480,458,178,9/14/2022
55439,8599,8096,4974,9/14/2022
55334,1660,1586,576,9/14/2022
56311,395,376,164,9/14/2022
55331,16831,15903,8534,9/14/2022
55024,24207,23057,10191,9/14/2022
55763,337,323,151,9/14/2022
55042,10562,9999,5021,9/14/2022
56062,1946,1830,660,9/14/2022
55007,1117,1052,338,9/14/2022
56027,463,436,172,9/14/2022
56116,242,225,64,9/14/2022
56041,645,623,226,9/14/2022
55335,921,882,304,9/14/2022
55438,14128,13476,8242,9/14/2022
56315,800,774,292,9/14/2022
56541,26,26,12,9/14/2022
55381,1057,1023,297,9/14/2022
56572,3859,3618,1533,9/14/2022
55781,533,515,221,9/14/2022
56172,1859,1793,613,9/14/2022
56398,<= 5,<= 5,<= 5,9/14/2022
56243,725,697,259,9/14/2022
