Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
65+,2022,36,At least one vaccine dose,99.70%,100%,86%,100%,84%,96.50%,9/16/2022
11-May,2022,36,At least one vaccine dose,37.50%,32.40%,37.60%,68.10%,22.80%,34.30%,9/16/2022
5+,2022,36,At least one vaccine dose,70.10%,70.50%,63.20%,87.30%,36.40%,70%,9/16/2022
45-64,2022,36,At least one vaccine dose,69.40%,90.40%,69.10%,96.50%,56.80%,86.50%,9/16/2022
19-44,2022,36,At least one vaccine dose,65.20%,70.80%,63.60%,83.40%,39.10%,75.20%,9/16/2022
18-Dec,2022,36,At least one vaccine dose,56.20%,66.10%,62.20%,92.20%,27.70%,66.60%,9/16/2022
12+,2022,36,At least one vaccine dose,73%,77.60%,67.40%,89.90%,40.50%,77.10%,9/16/2022
65+,2022,36,Completed vaccine series,96.60%,100%,83.40%,100%,80.80%,88.90%,9/16/2022
11-May,2022,36,Completed vaccine series,35.10%,26.20%,30.70%,62.50%,20.70%,29.20%,9/16/2022
5+,2022,36,Completed vaccine series,67.30%,63.70%,57.50%,82%,34.10%,63.50%,9/16/2022
45-64,2022,36,Completed vaccine series,67.60%,85.20%,65.10%,92.10%,55%,81.20%,9/16/2022
19-44,2022,36,Completed vaccine series,61.70%,63.10%,56.80%,77.80%,36.20%,67.60%,9/16/2022
18-Dec,2022,36,Completed vaccine series,53.90%,58.20%,56.30%,87.60%,26%,60.60%,9/16/2022
12+,2022,36,Completed vaccine series,70.20%,70.70%,62%,84.70%,38.10%,70.30%,9/16/2022
65+,2022,36,Up to date vaccine doses,50.10%,40.70%,35.80%,50.80%,38.70%,37.10%,9/16/2022
11-May,2022,36,Up to date vaccine doses,9.50%,6.50%,8.60%,15.80%,6.20%,6.80%,9/16/2022
5+,2022,36,Up to date vaccine doses,31.90%,21.20%,25.50%,40.90%,16%,24.70%,9/16/2022
45-64,2022,36,Up to date vaccine doses,23.80%,26%,24.80%,40%,22.10%,28.40%,9/16/2022
19-44,2022,36,Up to date vaccine doses,35.90%,22.70%,30.20%,45.80%,20.30%,29.30%,9/16/2022
18-Dec,2022,36,Up to date vaccine doses,25%,18%,23.30%,41.50%,12%,22.90%,9/16/2022
12+,2022,36,Up to date vaccine doses,33.90%,23.90%,28.30%,44.30%,19%,28.20%,9/16/2022
65+,2022,35,At least one vaccine dose,99.70%,100%,86%,100%,83.90%,96.50%,9/16/2022
11-May,2022,35,At least one vaccine dose,37.50%,32.30%,37.60%,68%,22.80%,34.20%,9/16/2022
5+,2022,35,At least one vaccine dose,70.10%,70.50%,63.10%,87.30%,36.40%,70%,9/16/2022
45-64,2022,35,At least one vaccine dose,69.40%,90.30%,69.10%,96.50%,56.80%,86.50%,9/16/2022
19-44,2022,35,At least one vaccine dose,65.20%,70.70%,63.60%,83.40%,39.10%,75.20%,9/16/2022
18-Dec,2022,35,At least one vaccine dose,56.20%,66%,62.20%,92.20%,27.70%,66.60%,9/16/2022
12+,2022,35,At least one vaccine dose,73%,77.60%,67.40%,89.90%,40.50%,77.10%,9/16/2022
