,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Total Wastage,Georeferenced Latitude & Longitude
0,Lansdale Rx Pharmacy,1801 N BROAD ST,Lansdale,Pennsylvania,19446,Montgomery,0,0,0,275,5,24,304,-75.265694 40.258292
1,,,,,,,0,0,0,0,0,0,0,
2,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,6,
3,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,64,-79.157875 40.614684
4,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,16,
5,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,8,-75.353077 40.082452
6,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,4,
7,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,1,-79.141997 41.879427
8,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,40,-77.006961 41.241842
9,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,31,-75.977661 40.376717
10,Joseph Lamantia DO PC,1690 Saltsburg Avenue,Indiana,Pennsylvania,15701,Indiana,0,0,0,0,16,0,16,-79.172871 40.611386
11,Fresenius Kidney Care South Allentown,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,5,0,0,5,-75.481033 40.560689
12,Fresenius Kidney Care (FKC Chadds Ford,291 Wilmington West Chester Pike,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,2,0,0,2,-75.540653 39.853872
13,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,29,7,10,46,-75.662171 40.233362
14,Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,66,-77.880361 40.381921
15,Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,6,-76.715296 39.957204
16,North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,50,-77.301143 41.749471
17,PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,79,-76.550305 40.791462
18,Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,2,-80.588191 41.024818
19,LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,3,-76.188817 40.68179
20,Tri-State Community Health Center,525 Fulton Drive,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,1,2,0,3,-77.99936 39.924409
21,FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,15,-76.891814 40.976035
22,Wellness Family Pharmacy,3250 Chichester ave,Boothwyn,Pennsylvania,19061,Delaware,0,0,0,0,9073,0,9073,-75.442314 39.836868
23,Primemed-Dr. Patrick Connors,2232 Pittston Ave,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,46,33,0,79,-75.681141 41.384922
24,PHN-Tri-County Community Health Center,1555 Shawna Road,Cherry Tree,Pennsylvania,15724,Cambria,0,0,0,12,3,0,15,-78.799345 40.716831
25,Wright Ctr for Com Hlth Scranton Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,9,0,9,-75.67015 41.402072
26,Family Practice Center Williamsport,1205 River Avenue 1st Floor,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,0,42,0,42,-76.981391 41.252539
27,FCCC-East Norriton,2701 Dekalb Pike Fox Chase Cancer Center,Norristown,Pennsylvania,19401,Montgomery,0,0,0,6,2,140,148,
28,Kids Plus Pediatrics-Seven Fields,671D CASTLE CREEK DRIVE EXT,Mars,Pennsylvania,16046,Butler,0,0,0,149,7,0,156,
29,Lepri Ruane Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,94,0,94,-75.681293 41.384806
30,AHN St Vincent Fam Medic Ctr,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,0,2,0,2,-80.0814 42.111191
31,Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,464,0,464,-78.920587 40.327188
32,Canadohta Lake Health Center,35255 Brown Hill Road,Union City,Pennsylvania,16438,Erie,0,0,0,0,2,0,2,-79.849136 41.792247
33,VHP Center For Womens Medicine,1627 Chew Street  # 1 Lehigh Valley Hospital,Allentown,Pennsylvania,18105,Lehigh,0,0,0,2,13,40,55,
34,Cornerstone Coordinated Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,0,7,0,7,-76.232047 40.784801
35,My Health Center at Lowes Pittston,200 Center Point Blvd My Health Center,Pittston,Pennsylvania,18640,Luzerne,0,0,0,2,1,0,3,
36,The Medicine Shoppe,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,39,0,39,-75.891345 41.238396
37,Lebanon Community Health Center,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,0,4,0,4,-76.42776 40.344531
38,Blueberry Pharmacy,1018 W View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,31,0,31,-80.036184 40.516635
39,VDI-Millers Pharmacy,Rt 6 Farm and home plaza,Wyalusing,Pennsylvania,18853,Bradford,0,0,0,49,0,0,49,
40,WellSpan Occupational Health,2250 E Market Street,York,Pennsylvania,17402,York,0,0,0,0,5,0,5,-76.682678 39.973843
41,Cornerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,7,0,7,-80.060817 39.734055
42,Gerritys Pharmacy Hanover,2280 Sans Souci Parkway,Hanover Township,Pennsylvania,18706,Luzerne,0,0,0,12,9,0,21,-75.971341 41.209669
