,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
0,WellSpan Pharmacy-Ephrata,183 N. Reading Road,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,47,4,22,POINT (-76.1821 40.188381)
1,,,,,,,0,0,0,0,0,0,
2,GIANT PHARMACY-6294,1255 CARLISLE ROAD,YORK,PA,17404,York,0,0,0,30,1371,206,POINT (-76.768499 39.964257)
3,UPMC Hamot,201 State St,Erie,Pennsylvania,16507,Erie,0,0,0,0,807,0,POINT (-80.087825 42.133331)
4,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
5,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
6,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
7,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
8,AHN Primary Care Butler,103 Technology Dr,Butler,Pennsylvania,16001,Butler,0,0,0,0,19,18,POINT (-79.968814 40.865485)
9,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
10,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,POINT (-79.141997 41.879427)
11,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
12,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
