Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
Care-fill LTC Pharmacy,343 Mercer Road,Greenville,Pennsylvania,16125,Mercer,0,0,0,31,1202,922,POINT (-80.366896 41.386439)
Hyndman Area Health Center,144 5th Avenue PO Box 706,Hyndman,Pennsylvania,15545,Bedford,0,0,0,112,461,1554,POINT (-78.716933 39.817201)
VDI-Millers Pharmacy,Rt 6 Farm and home plaza,Wyalusing,Pennsylvania,18853,Bradford,0,0,0,55,3,3,
Wellspan Surgical and Rehab Hosp,55 Monument Rd,York,Pennsylvania,17403,York,0,0,0,12,270,0,POINT (-76.716773 39.923331)
Majeed Health,416 W Tilghman Street,Allentown,Pennsylvania,18102,Lehigh,0,0,0,0,580,100,POINT (-75.470697 40.613381)
Einstein Medical Center Montgomery,559 W Germantown Pike EMCM Pharmacy,East Norriton,Pennsylvania,19403,Montgomery,0,0,0,20,0,1469,POINT (-75.345017 40.151309)
Cumberland County SHC,431 East North Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,7,140,0,POINT (-77.179324 40.203811)
Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
Freeland Health Center,404 Ridge Street,Freeland,Pennsylvania,18224,Luzerne,0,0,0,11,89,260,POINT (-75.898586 41.015579)
My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,POINT (-77.880361 40.381921)
