State,Download Script Ready?,Administration,Allocation,Distribution,Wastage,Age,Race,Ethnicity,Gender,Resident/Non-resident,County Level,Zip Code Level,Coverage in Vulnerable Communities,Manufacturer ,Provider,Data cumulative or not,Data Score,Method to download,Link,Info Type,Notes,Link to get vaccine,Hotline,age policy description (old),age policy description (new),eligible age for vaccine (Apr 15),eligible age for vaccine (Sep 8),Policy Change (timeline)
Alabama,Manually,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Cumulative (updates Tue and Thur),3,"This is a dashboard, I need to look how to get the sourse of it",https://alpublichealth.maps.arcgis.com/apps/MapSeries/index.html?appid=d84846411471404c83313bfe7ab2a367,"numbers delivered, administrated, demographics, cumulative values","updates Tue and Thur by 2.00 pm,
arcgis dashboard",https://alcovidvaccine.gov/,855-566-5333,"Beginning April 5, all individuals age 16 and older became eligible to receive the Covid-19 vaccine in Alabama. A website, alcovidvaccine.gov, allows people to schedule an appointment. The hotline doesn?? make appointments but can refer callers to appropriate sites to do so.","The Pfizer vaccine is the only COVID-19 vaccine currently authorized for ages 12 and older. The Pfizer vaccine has been federally approved for individuals ages 16 and older. Currently, our county health departments are giving the Moderna vaccine, which is authorized for ages 18 and older. Other providers, such as hospitals and some pharmacies, are giving the Pfizer vaccine. These other providers may also be offering the Johnson and Johnson vaccine, which is currently not authorized for those under 18 years of age. If you are 12-17 years of age, please check vaccines.gov or contact the provider to see which vaccine is offered before scheduling your appointment.",16+,12+,
Alaska,Couldn't see how to download,1,0,0,0,1,1,1,1,1,1,0,0,0,0,"Cumulative in general
Both for total administrated",7,"This is a dashboard, I need to look how to get the sourse of it",https://experience.arcgis.com/experience/a7e8be4adbe740a1bad1393894ee4075,,,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/VaccineAppointments.aspx,844-542-8201,"Vaccines are available to anyone living or working in the state who is age 16 and older. To make an appointment, individuals can use the state?? online appointment system or call the hotline number above.","Vaccines are available to both Alaskan residents and visitors. People 18+ may receive either Pfizer, Moderna or Johnson & Johnson vaccines. 12-17 year-olds may receive the Pfizer vaccine only. Text your ZIP code to 438829 or call the Alaska Vaccine hotline at 907-646-3322.",16+,12+,
Arizona,"Daily by zip code automatic
Could't find a download for the rest",1,0,0,0,1,1,1,1,0,1,0,0,0,0,"Cumulative in general
Both for total administrated",6,"This is a dashboard, I need to look how to get the sourse of it",https://www.azdhs.gov/covid19/data/index.php#zipcode-vaccinations,"demographics, # of vaccine ordered, zipcode","updates daily, dashboard",https://podvaccine.azdhs.gov/,844-542-8201,"Arizona distributes vaccines via local and tribal health jurisdictions. Counties have opened vaccine eligibility to all Arizonans age 16 and older or age 18 and older.
 
 The state has an online appointment system for eligible residents, but there is no preregistration for the vaccine.","Arizona is now vaccinating all individuals ages 12 and older (12 and older for the Pfizer vaccine, 18 and older for the Moderna and Janssen vaccines). A safe and effective vaccine is a critical component of the U.S. strategy to stop the spread of COVID-19 and reduce COVID-19 related hospitalizations and deaths. The Arizona Department of Health Services (ADHS) is working diligently to distribute and administer COVID-19 vaccines throughout Arizona.",16+,12+,
Arkansas,"Dashboard, does not have a download section",1,0,0,0,0,1,1,0,0,1,0,0,0,0,,4,"This is a dashboard, I need to look how to get the sourse of it",https://experience.arcgis.com/experience/633006d0782b4544bd5113a314f6268a/,"demographics, individuals with third dose?","couldn't see the update frequency, dashboard",https://www.healthy.arkansas.gov/programs-services/topics/covid-19-map-of-1-a-pharmacy-locations,800-985-6030,All residents of Arkansas age 16 and older are eligible for the vaccine. The site offers a map of pharmacy locations for making an appointment.,All Arkansans age 12 or older are now eligible to receive the vaccine.,16+,12+,
California,"Automatic download, zip folder",1,0,0,0,1,1,1,1,0,1,1,0,0,0,Have daily data,7,csv files available,"https://data.ca.gov/group/covid-19 ,
https://covid19.ca.gov/vaccination-progress-data/","vaccines shipped, delivered, on hand, demographics, by zip code","updates daily some data stopped in May though, can download csv",https://covid19.ca.gov/vaccines/#How-to-get-vaccinated,833-422-4255,"Every Californian 16 and older became eligible to receive the vaccine on April 15.
 
 Gov. Gavin Newsom modified the state?? eligibility for vaccines by including what his office said was an equity initiative, so that people living in crowded, low-income neighborhoods would have increased access to the shots. Mr. Newsom said California would set aside 40% of vaccine doses for these communities.
 
 Most eligible residents can receive a vaccine at community sites, doctor?? offices, clinics and pharmacies. The state allows residents to preregister to be notified when it is their turn.
 Every Californian 16 and older became eligible to receive the vaccine on April 15.
 
 Gov. Gavin Newsom modified the state?? eligibility for vaccines by including what his office said was an equity initiative, so that people living in crowded, low-income neighborhoods would have increased access to the shots. Mr. Newsom said California would set aside 40% of vaccine doses for these communities.
 
 Most eligible residents can receive a vaccine at community sites, doctor?? offices, clinics and pharmacies. The state allows residents to preregister to be notified when it is their turn.
 Every Californian 16 and older became eligible to receive the vaccine on April 15.
 
 Gov. Gavin Newsom modified the state?? eligibility for vaccines by including what his office said was an equity initiative, so that people living in crowded, low-income neighborhoods would have increased access to the shots. Mr. Newsom said California would set aside 40% of vaccine doses for these communities.
 
 Most eligible residents can receive a vaccine at community sites, doctor?? offices, clinics and pharmacies. The state allows residents to preregister to be notified when it is their turn.","Any Californian aged 12 and up can get vaccinated, for free. 
 
 Your insurance or immigration status does not matter. No one will ask about your immigration status when you get vaccinated.",16+,12+,
Colorado,Google drive updates,1,0,0,0,1,0,0,0,0,1,0,0,1,0,,4,drive folder available,https://covid19.colorado.gov/vaccine-data-dashboard,"vaccine distributed, administrated, demographics","Google Drive, updates daily, includes past data",https://covid19.colorado.gov/vaccine/where-you-can-get-vaccinated,877-268-2926,"All Coloradans 16 and older are eligible for the Pfizer vaccine, and all Coloradans 18 and older are eligible for the Moderna vaccine.
 
 The majority of residents will receive the vaccine through their employer, local public-health agency or long-term-care program. Current vaccine providers for eligible residents to contact are listed.",All Coloradans over age 12 are now eligible to be vaccinated.,16+,12+,
Connecticut,Done,1,1,0,0,1,1,1,1,0,1,1,1,1,0,,10,export as csv,https://data.ct.gov/browse?COVID-19_Topic=Vaccination,"doses, demographics, zip codes",updates weekly on Thursdays,https://guest.vams.cdc.gov/?jurisdiction=CT,877-918-2224,"Starting April 1, residents age 16 and older are eligible for the vaccine. The state has an eligibility quiz, a way for employers to sign up staff and a registration and enrollment website for eligible residents. Residents also can contact certain healthcare providers for direct scheduling.",COVID-19 vaccines are available to everyone ages 12 and older in Connecticut,16+,12+,
Delaware,Done,1,0,0,0,1,1,1,1,0,1,1,1,1,0,,9,csv available,https://myhealthycommunity.dhss.delaware.gov/locations/state/vaccine-tracker#vaccine_tracker,"doses delivered, administrated, on hand, demographics, coverage in vulnerable communities, resident/resident of other states","Looks nice and detailed, csv available, seem to update daily
They have release timeline as well",https://coronavirus.delaware.gov/vaccine/,833-643-1715,"Delaware has expanded vaccine eligibility to all individuals 16 and older. People can join a wait list online to request appointments. Those who receive invitations for an appointment can schedule them online. They also can schedule appointments through pharmacies.
 
 The state is working with pharmacies, medical providers, hospital systems, employers and other organizations to distribute shots.","In May, The U.S. Food and Drug Administration (FDA) amended Pfizer-BioNTech?? Emergency Use Authorization (EUA) to expand use of its vaccine to include youth ages 12-15. On August 23, the FDA formally approved the Pfizer-BioNTech COVID-19 Vaccine for individuals 16 and older, and changed the vaccine?? name to COMIRNATY. There was not enough data at this time to extend full approval to cover persons 12-15 or a third dose for the immunocompromised, so the EUA for Pfizer and COMIRNATY both, remains in place, covering all populations originally included in the EUA. Once additional data is available, it is expected that full approval for other categories will be granted. If you received a first, or both doses of the vaccine of Pfizer, and will eventually need either a third or booster dose of the vaccine, you do not need to re-start the vaccine series now that the vaccine?? name has changed to COMIRNATY. Below you can learn more about vaccinations for those under age 16, and see answers to frequently asked questions about the vaccine and safety, fertility and more.",16+,12+,
Florida,"No need, only data from CDC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,data from CDC is enough,https://data.democratandchronicle.com/covid-19-vaccine-tracker/florida/12/,Total numbers only,,https://floridahealthcovid19.gov/vaccines/vaccine-locator/,866-201-6313,"As of April 5, anyone 16 and older qualifies for vaccinations in Florida. The state offers a list of county health departments and hospital providers, sortable by county and city. A website, myvaccine.fl.gov, allows eligible Florida residents to preregister for vaccines and secure spots in line.","The U.S. Food and Drug Administration has authorized and recommended three vaccines to prevent COVID-19 in the U.S.:
 The Pfizer-BioNTech COVID-19 vaccine for individuals 12 years of age and older.
 The Moderna and Janssen (Johnson Johnson) COVID-19 vaccines for individuals 18 years of age and older.
 All individuals under 18 years of age receiving a COVID-19 vaccine must be accompanied by a guardian.",16+,12+,
Georgia,Automatic download,1,0,0,0,1,1,1,1,1,1,0,0,1,0,,8,"This is a dashboard, I need to look how to get the sourse of it",https://experience.arcgis.com/experience/3d8eea39f5c1443db1743a4cb8948a9c,"demographics, admistrated, shipped by manufacturer","Excel file available, daily",https://dph.georgia.gov/covid-vaccine,888-457-0186,"Vaccination is open to people 16 years and older. There is a sortable table of vaccination sites for residents to book appointments directly. The state advises residents to check its website often, as participating site locations will be updated frequently. More locations will be added when providers are ready to administer the shots, and as supply allows. There is no preregistration available.","Georgia eligibility is open for everyone 12 years of age and older for the COVID vaccine.
 Note: Pfizer is the only COVID vaccine currently approved for 16 and 17-year-olds, and authorized for children aged 12 through 15.",16+,12+,
Hawaii,Manually and pdf,,0,0,0,1,1,0,0,1,1,0,0,0,0,Cumulative,4,"This is a dashboard, I need to look how to get the sourse of it",https://health.hawaii.gov/coronavirusdisease2019/current-situation-in-hawaii/#vaccine,"ordered, received, administrated, demographics","Last updated on Thur Sep 2, tableau dashboards",https://hawaiicovid19.com/vaccine/,833-711-0645,"Hawaii distributes its vaccines to hubs throughout the state. Most islands in the state are vaccinating individuals age 16 and older; the island of O??hu is vaccinating adults age 50 and older, people with certain chronic medical conditions and essential workers. Eligible individuals can register through this website. 
 
 People age 60 and older can receive telephone assistance to register for vaccination by calling 808-300-1120. Hawaii also provides island county websites, which have updated information.
 
 The state expects that all adults will be able to get vaccinated in May.",Vaccine registration is available to Hawaii residents who are 12 years or older.,16+,12+,
Idaho,Manually csv,1,0,0,0,1,1,1,0,0,1,0,0,0,0,Weekly/Cumulative,5,"This is a dashboard, I need to look how to get the sourse of it",https://public.tableau.com/app/profile/idaho.division.of.public.health/viz/COVID-19VaccineDataDashboard/LandingPage,"demographics, delivered, administrated, weeks of vaccine supply",Updates Monday-Friday by 1 pm ,https://covidvaccine.idaho.gov/,https://coronavirus.idaho.gov/wp-content/uploads/2021/01/Idaho-Public-Health-District-Points-of-Contact-for-COVID-19-Vaccine-Questions.pdf,"Hotline: There are different hotlines depending on where you live in the state.
 
 Covid-19 vaccines are available to anyone 16 years or older who lives or works in Idaho.
 
 Preregistration is done online.",Anyone age 12 or older can get vaccinated in Idaho. Thank you to everyone who chooses to protect our communities by getting the COVID-19 vaccine.,16+,12+,
Illinois,Manually csv,1,0,0,2,1,1,1,1,0,1,1,0,0,0,"Cumulative in general
Both for total administrated",9,"This is a dashboard, I need to look how to get the sourse of it",https://dph.illinois.gov/covid19/vaccine/vaccine-data?county=Illinois,"administrated, inventory,discarded (wastage), demographics, ",updates weekly on Wed,https://coronavirus.illinois.gov/vaccines/vaccination-locations.html,833-621-1284,"On April 12, the state opened eligibility to all residents age 16 and older.
 
 Vaccinations are available by appointment only. The state website lists all vaccination locations. Residents can access links for a local provider to make an appointment to receive the vaccine.",If you??e looking for a specific vaccine -- like Pfizer which is the only vaccine approved for children ages 12 and older -- the tool lets you check the vaccine you want and quickly search for providers that have it.,16+,12+,
Indiana,"Dashboard only, no options for public download",1,0,0,0,1,1,1,1,0,1,0,0,0,0,"Cumulative in general
Both for total administrated",6,"This is a dashboard, I need to look how to get the sourse of it",https://www.coronavirus.in.gov/vaccine/2680.htm,"administrated, demographics, ltc facilities(residents/staff)","updates daily Monday through Fridat at 12:00 pm
LTC weekly on Fri",https://vaccine.coronavirus.in.gov/en-US/,866-211-9966,"The state opened vaccine eligibility to anyone 16 and older March 31. There is a list of vaccine sites broken down by county, and you can click on your county and provider to schedule an appointment. The state doesn?? allow preregistration.",Anyone age 12 and older may now schedule a COVID-19 vaccination appointment. Click here to register or call 211 (866-211-9966) if you do not have access to a computer or need assistance. Walk-in appointments are also accepted at most vaccination sites.,16+,12+,
