State,State of Emergency Declaration,Travel Restrictions,Mass Gathering Restrictions,Mask Mandates,Vaccine Mandate
Alabama,"Alabama is in a State of Emergency due to COVID-19. Previously, Alabama ended a prior state of emergency declaration on July 6, 2021.",,"Under Alabama's ""Safer at Home"" order, issued May 11, 2020, non-work gatherings of all sizes are permitted if six feet of distance can be maintained between participants.",Alabama does not currently have a mask mandate in place.,"Alabama prohibits government entities from issuing standardized documentation for the purpose of certifying immunization status. Alabama makes exemptions for child immunization forms and “other applicable state law. Alabama prohibits people from being denied entry to businesses, universities, and state agencies if they have not been vaccinated for COVID-19. Additionally, Alabama prohibits any state agency from imposing any penalty for noncompliance with federal vaccine mandates."
Alaska,"The state of emergency declaration expired on April 30, 2021. On May 1, 2021, Governor Dunleavy signed Alaska HB 76 into law, allowing the state to receive federal funding related to the pandemic through December 31, 2021. The Alaska Department of Health issued an order that gives the state eligibility for federal aid during an emergency.","Following the expiration of the state of emergency declaration on February 14, travelers coming in Alaska should be able to produce a negative test within 72 hours of arriving and be tested 5 to 14 days once in the state.","As of May 22, 2020, large gatherings are permitted in Alaska with strict social-distancing and hygiene practices.",Alaska does not currently have a mask mandate in place.,"Prohibits all executive branch entities from requiring any person to show their vaccination status in order to travel to, or around, the state."
Arizona,"Arizona ended its COVID-19 state of emergency on March 30, 2022.","Rescinded by EO 2020-36 on May 12. Under the original order, EO 2020-24, a mandatory 14 day self-quarantine for those who recently traveled to NY, NJ, or CT.","On March 25, 2021, Gov. Ducey issues EO 2021-06, which allows for events of over 50 people without government approval.",Arizona does not currently have a mask mandate in place.,"Gov. Doug Ducey issued an executive order on Apr. 19, 2021, preventing state and local governments in Arizona from requiring Arizonans to provide their COVID-19 vaccination status to receive any public service or enter a government building."
Arkansas,"Arkansas is in a State of Emergency due to COVID-19, and Arkansas will be in such a state until September 25, 2021.",There is currently no quarantine requirement for travelers entering Arkansas based on the location they traveled from. This includes both domestic and international travel.,"Effective February 26th, 2021, the Directive for Indoor Venues is now guidance and events are not required to submit plans to ADH for review. However, events are strongly encouraged to continue to follow the Guidelines to prevent the spread of COVID-19.",Arkansas does not currently have a mask mandate in place.,"Prohibits Arkansas state agencies or entities, or any political subdivisions of Arkansas, or any state or local official from requiring individuals to provide proof of COVID-19 vaccination status for any reason. Further, COVID-19 vaccination status may not be a condition for entry, travel, education, or any other service."
California,"On November 10, 2021, California extended its Covid-19 emergency declaration through March 31, 2022.",Urges persons arriving in CA to quarantine for 14 days after arrival.,"On August 18, 2021, the California Department of Public Health issued an order requiring proof of vaccination or a negative Covid-19 test for all indoor events with more than 1,000 people.","On March 1, 2022, California ended its mask mandate for unvaccinated individuals, but strongly recommended that all individuals, regardless of vaccination status, continue wearing masks indoors.","California requires that state employees and health care workers show proof of vaccination or get tested regularly. The new policy for state workers will take effect on August 2 and testing will be phased in over the next few weeks. The new policy for health care workers and congregate facilities will take effect on August 9, and health care facilities will have until August 23 to come into full compliance."
Colorado,"On July 8, 2021, Colorado rescinded its Covid-19 emergency executive order and instituted a Covid-19 Disaster Recovery Order. The Recovery order contains directives related to encouraging vaccinations, ensuring healthcare facilities can continue to treat Covid-19 patients, and maintaining access to federal funds. On May 22, 2022, Colorado extended its Disaster Recover order until June 22, 2022.",,"Beginning December 1, 2021, all attendees ages 12 and older of indoor events with more than 500 people must be fully vaccinated against Covid-19. For indoor events held in Adams, Arapahoe, Boulder, Jefferson, and the city and county of Denver and the city and county of Broomfield all event attendees must be fully vaccinated against Covid-19, negative Covid-19 test may not be used.","Colorado does not currently have a mask mandate in place, however, the Colorado Department of Public Health & Environment has required that face coverings be worn in homeless shelters, correctional facilities, and healthcare facilities.","All state employees must be vaccinated against Covid-19 by September 20, 2021, or undergo twice-weekly testing."
Connecticut,"Connecticut is currently in a State of Emergency due to COVID-19 and will be in such a state until February 15, 2022 when the Governor's Emergency Powers expire.","Anyone traveling into Connecticut from a state other than NY, NJ, or RI, that has a new daily positive test rate higher than 10 per 100,000 residents or a state with a 10% or higher positivity rate over a 7-day rolling average are recommended to self-quarantine for a 14-day period from the time of last contact within the identified state.","Currently, Connecticut's COVID-19 restrictions have been largely eliminated, but you're advised to stay at least 6 feet away from anyone, whether in a large group or not.",Connecticut currently has no mask mandates.,Mandates guiding vaccination have expired and are no longer in effect.
Delaware,Delaware is in a State of Emergency due to COVID-19 indefinitely.,"Any individual who enters Delaware from another state, and who is not merely passing through, must immediately self-quarantine for fourteen (14) days from the time of entry into Delaware or for the duration of the individual’s presence in Delaware, whichever period is shorter. This self-quarantine requirement shall not apply to public health, public safety, or healthcare workers, or any other individual providing assistance to an Essential Business or providing an emergency service related to COVID-19. This self-quarantine requirement shall not apply to individuals commuting into Delaware to work for a business deemed essential or otherwise open for business or to perform Minimum Business Operations as permitted by the Fifth Modification of the Declaration of a State of Emergency. Individuals traveling to Delaware to work for a business deemed essential or otherwise open for business but who could otherwise work from home, are strongly encouraged to work from home.","Currently, indoor gatherings are limited to 25 people or 50% of a building's capacity, whichever is lower. Outdoor public gatherings are limited to 150 people. Outdoor gatherings larger than 150 people require approval from the Division of Public Health.","Delaware mask mandate expires February 11, 2022 for all indoor businesses, public transportation, and spaces open to the public.","On August 12, 2021, Gov. Carney mandated that, by September 30, 2021, all long-term care facility staff, all other healthcare facilities staff, teachers, staff, contractors, and volunteers and all other Delaware state employees must either provide proof of vaccination or undergo regular testing to prevent the transmission of COVID-19."
Florida,Florida is no longer in a State of Emergency due to COVID-19.,All restrictions on travelers were lifted by E.O. 192.,"Currently, there are no restrictions on crowd size or mass gathering limitations under Phase 3, beginning Sept. 25, 2020.",Florida does not currently have a mask mandate in place.,"Florida prohibits governmental agencies, government employees, and all political subdivisions from mandating the use of face coverings and from mandating a show of vaccination against COVID-19 (also known as ""vaccine passports""). The bill that instituted these requirements, SB 2006, is currently being litigated in the Florida court system."
Georgia,"Georgia's state of emergency was initially declared on March 14, 2020 (Executive Order 03.14.20.01) and has been renewed every 30 days since, most recently by Executive Order 01.29.21.01.",Travel guidelines.,"Effective April 8, 2021, there is no longer a ban on gatherings, after the signing of EO 03.31.21.03.",Georiga does not currently have a mask mandate in place.,"Prohibits state agencies, state service providers, and state properties from requiring COVID-19 vaccine passports."
Hawaii,"Hawaii is currently in a State of Emergency due to COVID-19 until March25, 2022.","Currently, there is no mandatory 10-day quarantine period for travelers entering Hawaii from another state, nor for those traveling between counties in Hawaii.","Executive Order 21-08, issued on Nov. 2, 2021 regarding Statewide Limits for Social Gatherings, Restaurants, Bars, Social Establishments, and Gyms will end on Dec. 1, 2021. The counties will implement appropriate measures for social gatherings, restaurant operations, social establishments and other venues within their own counties.",Hawaii currently has a mask mandate in place at indoor public areas for all individuals regardless of vaccination status however it is set to end March 25th.,All Hawaii state employees (state and county) are required to show proof that they are vaccinated against COVID-19 by August 16 or undergo weekly testing.
Idaho,Idaho is in a State of Emergency due to COVID-19.,Idaho has no COVID-19 travel restrictions in place.,"In Idaho, there is no statewide prohibition on gatherings of any size, nor is there a statewide, state-instituted suggestion for gatherings size.",Idaho does not currently have a mask mandate in place.,Gov. Brad Little signed an executive order prohibiting any State of Idaho governmental entity from requiring proof of COVID-19 vaccination for citizens to recieve public services or access governmental facilities.
Illinois,"Illinois is in a State of Emergency due to COVID-19, and Illinois will be in such a state until December 11, 2021.","Illinois does not restrict the travel of persons within the State (or those outside it). Nevertheless, Illinois has issued travel safety guidance that makes a number of recommendations to those persons who choose to travel during the COVID-19 pandemic.","In Illinois, in Phase 5, there are no restrictions on mass gatherings.","Starting March 1, Illinois will no longer have a statewide mask mandate in place. Prior to this date, the state requires both vaccinated an unvaccinated individuals to wear masks in public indoor establishments.","Illinois implements a coronavirus vaccine or regular testing requirement for public and private pre-K through 12 teachers and staff, higher education teachers and staff, students in higher education, and healthcare workers. The deadline for all healthcare workers, teachers, and school staff to have had their first dose of a COVID-19 vaccine is September 19, 2021. Licensed daycare workers are also required to be fully vaccinated by January 3, 2022."
Indiana,"On March 3rd, 2022, Gov. Eric Holcomb issued E.O. 22-09, which rescinded Indiana's declared public health emergency.","Indiana has instituted no travel restrictions. However, Indiana does recommend that persons whom have traveled internationally before arriving in Indiana self-quarantine for 14 days.","In Indiana, there are a number of restrictions on large venues, social gatherings, and events based on the color-code of the county:",Indiana does not currently have a mask mandate in place.,"Indiana prohibits the state government, any of its subdivisions, and any local governments (and any subdivisions thereof) from issuing or requiring proof of COVID-19 vaccination to use governmental services or facilities. Indiana also allows employees to find exemptions from employer vaccine mandates."
Iowa,"Iowa is in a State of Emergency due to COVID-19, and it shall be in such a state until February 15, 2022. On February 3, 2022, Iowa Governor Kim Reynolds announced the state of emergency will not be renewed when it expires on February 15.",Recomended only: Urged Iowans returning from out-of-state to self-quarantine for 14-days.,"Currently, there are no limits on gathering sizes in Iowa if proper social distancing measures are in place.",Iowa does not currently have a mask mandate in place.,"On May 20, 2021, Governor Reynolds signed IA HF 889 into law which prohibits the use of vaccine passports. The new law also prohibits the mandatory disclosure of whether a person has been vaccinated against Covid-19."
Kansas,Kansas is in a State of Emergency due to COVID-19. Medical personnel need only be licensed in the United States to practice COVID-19 related work in the state of Kansas.,"Generally, Kansas recommends a 14-day quarantine for anyone that has traveled to or attended certain locations and events. Those who have traveled to the following locations need to quarantine upon arrival in Kansas. The length of quarantine varies depending on whether you have been tested for COVID-19. This applies to both Kansas residents and those visiting Kansas:","Currently, there are no statewide mass gathering restrictions in Kansas.",Kansas does not currently have a mask mandate in place.,"Kansas prohibits governmental agencies, buildings, or political subdivisions from requiring proof of vaccination against COVID-19."
